title,stars
A Walk to Remember,"['Adam Shankman', '| ', '    Stars:', 'Mandy Moore, ', 'Shane West, ', 'Peter Coyote, ', 'Daryl Hannah']"
Enola Holmes 2,"['Harry Bradbeer', '| ', '    Stars:', 'Millie Bobby Brown, ', 'Henry Cavill, ', 'Helena Bonham Carter, ', 'David Thewlis']"
When Calls the Heart,"['Erin Krakow, ', 'Martin Cummins, ', 'Pascale Hutton, ', 'Jack Wagner']"
Space Force,"['Steve Carell, ', 'John Malkovich, ', 'Ben Schwartz, ', 'Diana Silvers']"
The Shannara Chronicles,"['Austin Butler, ', 'Ivana Baquero, ', 'Manu Bennett, ', 'Aaron Jakubenko']"
Lucy,"['Luc Besson', '| ', '    Stars:', 'Scarlett Johansson, ', 'Morgan Freeman, ', 'Choi Min-sik, ', 'Amr Waked']"
Midnight in Paris,"['Woody Allen', '| ', '    Stars:', 'Owen Wilson, ', 'Rachel McAdams, ', 'Kathy Bates, ', 'Kurt Fuller']"
Contagion,"['Steven Soderbergh', '| ', '    Stars:', 'Matt Damon, ', 'Kate Winslet, ', 'Jude Law, ', 'Gwyneth Paltrow']"
Project X,"['Nima Nourizadeh', '| ', '    Stars:', 'Thomas Mann, ', 'Oliver Cooper, ', 'Jonathan Daniel Brown, ', 'Dax Flame']"
Cars 3,"['Brian Fee', '| ', '    Stars:', 'Owen Wilson, ', 'Cristela Alonzo, ', 'Chris Cooper, ', 'Nathan Fillion']"
The Alienist,"['Daniel Brühl, ', 'Dakota Fanning, ', 'Luke Evans, ', 'Robert Wisdom']"
Pokémon,"['Veronica Taylor, ', 'Rachael Lillis, ', 'Eric Stuart, ', 'Ikue Ôtani']"
Wentworth,"['Kate Atkinson, ', 'Katrina Milosevic, ', 'Robbie Magasiva, ', 'Jacqueline Brennan']"
Knocked Up,"['Judd Apatow', '| ', '    Stars:', 'Seth Rogen, ', 'Katherine Heigl, ', 'Paul Rudd, ', 'Leslie Mann']"
I Think You Should Leave with Tim Robinson,"['Tim Robinson, ', 'Sam Richardson, ', 'Patti Harrison, ', ""Conner O'Malley""]"
Ivy & Bean,"['Elissa Down', '| ', '    Stars:', 'Madison Skye Validum, ', 'Hudson Hua, ', 'Parker Hua, ', 'Keslee Blalock']"
The Fall of the House of Usher,"['Carla Gugino, ', 'Willa Fitzgerald, ', 'Mark Hamill, ', 'Kate Siegel']"
Robin Hood,"['Otto Bathurst', '| ', '    Stars:', 'Taron Egerton, ', 'Jamie Foxx, ', 'Ben Mendelsohn, ', 'Eve Hewson']"
Return to Sender,"['Fouad Mikati', '| ', '    Stars:', 'Rosamund Pike, ', 'Shiloh Fernandez, ', 'Nick Nolte, ', 'Camryn Manheim']"
Kingdom,"['Ju Ji-Hoon, ', 'Bae Doona, ', 'Kim Sungkyu, ', 'Kim Hye-jun']"
Windfall,"['Charlie McDowell', '| ', '    Stars:', 'Jason Segel, ', 'Lily Collins, ', 'Jesse Plemons, ', 'Omar Leyva']"
Hell on Wheels,"['Anson Mount, ', 'Colm Meaney, ', 'Robin McLeavy, ', 'Phil Burke']"
Henry Danger,"['Jace Norman, ', 'Cooper Barnes, ', 'Riele Downs, ', 'Sean Ryan Fox']"
Love and Monsters,"['Michael Matthews', '| ', '    Stars:', ""Dylan O'Brien, "", 'Jessica Henwick, ', 'Michael Rooker, ', 'Dan Ewing']"
Disenchantment,"['Abbi Jacobson, ', 'Eric André, ', 'Nat Faxon, ', 'John DiMaggio']"
Princess Mononoke,"['Hayao Miyazaki', '| ', '    Stars:', 'Yôji Matsuda, ', 'Yuriko Ishida, ', 'Yûko Tanaka, ', 'Billy Crudup']"
The Legend of Korra,"['Janet Varney, ', 'P.J. Byrne, ', 'David Faustino, ', 'J.K. Simmons']"
The Call,"['Chung-Hyun Lee', '| ', '    Stars:', 'Park Shin-Hye, ', 'Jeon Jong-seo, ', 'Kim Sung-ryung, ', 'Lee El']"
Atomic Blonde,"['David Leitch', '| ', '    Stars:', 'Charlize Theron, ', 'James McAvoy, ', 'John Goodman, ', 'Eddie Marsan']"
Fear Street: Part Two - 1978,"['Leigh Janiak', '| ', '    Stars:', 'Sadie Sink, ', 'Emily Rudd, ', 'Ryan Simpkins, ', 'McCabe Slye']"
Copenhagen Cowboy,"['Per Thiim Thim, ', 'Ramadan Huseini, ', 'Angela Bundalovic, ', 'Zlatko Buric']"
The Expendables 2,"['Simon West', '| ', '    Stars:', 'Sylvester Stallone, ', 'Liam Hemsworth, ', 'Randy Couture, ', 'Jean-Claude Van Damme']"
Indian Predator: The Diary of a Serial Killer,[]
The Ritual,"['David Bruckner', '| ', '    Stars:', 'Rafe Spall, ', 'Arsher Ali, ', 'Robert James-Collier, ', 'Sam Troughton']"
When They See Us,"['Asante Blackk, ', 'Caleel Harris, ', 'Ethan Herisse, ', 'Marquis Rodriguez']"
Sicario: Day of the Soldado,"['Stefano Sollima', '| ', '    Stars:', 'Benicio Del Toro, ', 'Josh Brolin, ', 'Isabela Merced, ', 'Jeffrey Donovan']"
The Real Housewives of Beverly Hills,"['Kyle Richards, ', 'Adrienne Maloof, ', 'Camille Grammer, ', 'Lisa Vanderpump']"
The Emperor's New Groove,"['Mark Dindal', '| ', '    Stars:', 'David Spade, ', 'John Goodman, ', 'Eartha Kitt, ', 'Patrick Warburton']"
The Hitman's Bodyguard,"['Patrick Hughes', '| ', '    Stars:', 'Ryan Reynolds, ', 'Samuel L. Jackson, ', 'Gary Oldman, ', 'Elodie Yung']"
Monster Hunter,"['Paul W.S. Anderson', '| ', '    Stars:', 'Milla Jovovich, ', 'Tony Jaa, ', 'Ron Perlman, ', 'T.I.']"
Between,"['Jennette McCurdy, ', 'Jesse Carere, ', 'Justin Kelly, ', 'Kyle Mac']"
The Amazing World of Gumball,"['Dan Russell, ', 'Teresa Gallagher, ', 'Kerry Shale, ', 'Kyla Rae Kowalewski']"
One Piece,"['Iñaki Godoy, ', 'Emily Rudd, ', 'Mackenyu, ', 'Stevel Marc']"
Geostorm,"['Dean Devlin', '| ', '    Stars:', 'Gerard Butler, ', 'Jim Sturgess, ', 'Abbie Cornish, ', 'Alexandra Maria Lara']"
Metal Lords,"['Peter Sollett', '| ', '    Stars:', 'Jaeden Martell, ', 'Adrian Greensmith, ', 'Isis Hainsworth, ', 'Noah Urrea']"
Robin Hood: Prince of Thieves,"['Kevin Reynolds', '| ', '    Stars:', 'Kevin Costner, ', 'Morgan Freeman, ', 'Mary Elizabeth Mastrantonio, ', 'Christian Slater']"
Darlings,"['Jasmeet K Reen', '| ', '    Stars:', 'Alia Bhatt, ', 'Shefali Shah, ', 'Vijay Varma, ', 'Roshan Mathew']"
Steven Universe,"['Zach Callison, ', 'Deedee Magno, ', 'Michaela Dietz, ', 'Estelle']"
Hairspray,"['Adam Shankman', '| ', '    Stars:', 'John Travolta, ', 'Queen Latifah, ', 'Nikki Blonsky, ', 'Michelle Pfeiffer']"
Escape Room,"['Adam Robitel', '| ', '    Stars:', 'Taylor Russell, ', 'Logan Miller, ', 'Jay Ellis, ', 'Tyler Labine']"
"Extremely Wicked, Shockingly Evil and Vile","['Joe Berlinger', '| ', '    Stars:', 'Lily Collins, ', 'Zac Efron, ', 'Angela Sarafyan, ', 'Sydney Vollmer']"
Sweet Tooth,"['Nonso Anozie, ', 'Christian Convery, ', 'Aliza Vellani, ', 'Adeel Akhtar']"
Into the Badlands,"['Daniel Wu, ', 'Orla Brady, ', 'Emily Beecham, ', 'Aramis Knight']"
Spartacus: Gods of the Arena,"['John Hannah, ', 'Manu Bennett, ', 'Peter Mensah, ', 'Dustin Clare']"
Newness,"['Drake Doremus', '| ', '    Stars:', 'Nicholas Hoult, ', 'Laia Costa, ', 'Danny Huston, ', 'Courtney Eaton']"
Santa Clarita Diet,"['Drew Barrymore, ', 'Timothy Olyphant, ', 'Liv Hewson, ', 'Skyler Gisondo']"
Maestro,"['Bradley Cooper', '| ', '    Stars:', 'Maya Hawke, ', 'Matt Bomer, ', 'Bradley Cooper, ', 'Carey Mulligan']"
Man vs. Bee,"['Rowan Atkinson, ', 'Pino Maiello, ', 'Claudie Blakley, ', 'Jing Lusi']"
Things Heard & Seen,"['Shari Springer Berman, ', 'Robert Pulcini', '| ', '    Stars:', 'Amanda Seyfried, ', 'James Norton, ', 'Natalia Dyer, ', 'Alex Neustaedter']"
Guillermo del Toro's Cabinet of Curiosities,"['Kevin Keppy, ', 'Megan Many, ', 'Ish Morris, ', 'Ismael Cruz Cordova']"
Timeless,"['Abigail Spencer, ', 'Matt Lanter, ', 'Malcolm Barrett, ', 'Paterson Joseph']"
Girl in the Picture,"['Skye Borgman', '| ', '    Stars:', 'Karen Parsley, ', 'Charles Engles, ', 'Merle Bean, ', 'Ernest Bean']"
Hush,"['Mike Flanagan', '| ', '    Stars:', 'John Gallagher Jr., ', 'Kate Siegel, ', 'Michael Trucco, ', 'Samantha Sloyan']"
Neon Genesis Evangelion,"['Megumi Ogata, ', 'Megumi Hayashibara, ', 'Kotono Mitsuishi, ', 'Spike Spencer']"
Waterworld,"['Kevin Reynolds', '| ', '    Stars:', 'Kevin Costner, ', 'Jeanne Tripplehorn, ', 'Dennis Hopper, ', 'Tina Majorino']"
The Cuphead Show!,"['Tru Valentino, ', 'Frank Todaro, ', 'Joe Hanna, ', 'David Wasson']"
A Perfect Pairing,"['Stuart McDonald', '| ', '    Stars:', 'Victoria Justice, ', 'Adam Demos, ', 'Luca Asta Sardelis, ', 'Samantha Cain']"
Kill Bill: Vol. 2,"['Quentin Tarantino', '| ', '    Stars:', 'Uma Thurman, ', 'David Carradine, ', 'Michael Madsen, ', 'Daryl Hannah']"
Rampage,"['Brad Peyton', '| ', '    Stars:', 'Dwayne Johnson, ', 'Naomie Harris, ', 'Malin Akerman, ', 'Jeffrey Dean Morgan']"
Contact,"['Robert Zemeckis', '| ', '    Stars:', 'Jodie Foster, ', 'Matthew McConaughey, ', 'Tom Skerritt, ', 'John Hurt']"
The Woman in the Window,"['Joe Wright', '| ', '    Stars:', 'Amy Adams, ', 'Gary Oldman, ', 'Anthony Mackie, ', 'Fred Hechinger']"
Copshop,"['Joe Carnahan', '| ', '    Stars:', 'Gerard Butler, ', 'Frank Grillo, ', 'Alexis Louder, ', 'Toby Huss']"
In the Heart of the Sea,"['Ron Howard', '| ', '    Stars:', 'Chris Hemsworth, ', 'Cillian Murphy, ', 'Brendan Gleeson, ', 'Ben Whishaw']"
The Starling,"['Theodore Melfi', '| ', '    Stars:', 'Melissa McCarthy, ', ""Chris O'Dowd, "", 'Kevin Kline, ', 'Timothy Olyphant']"
Between Two Ferns: The Movie,"['Scott Aukerman', '| ', '    Stars:', 'Zach Galifianakis, ', 'Matthew McConaughey, ', 'Rekha Shankar, ', 'Olivia Mekdara']"
Aftermath,"['Peter Winther', '| ', '    Stars:', 'Ashley Greene, ', 'Shawn Ashmore, ', 'Jason Liles, ', 'Britt Baron']"
White House Down,"['Roland Emmerich', '| ', '    Stars:', 'Channing Tatum, ', 'Jamie Foxx, ', 'Maggie Gyllenhaal, ', 'Jason Clarke']"
The Dirt,"['Jeff Tremaine', '| ', '    Stars:', 'Douglas Booth, ', 'Iwan Rheon, ', 'Colson Baker, ', 'Daniel Webber']"
The Post,"['Steven Spielberg', '| ', '    Stars:', 'Meryl Streep, ', 'Tom Hanks, ', 'Sarah Paulson, ', 'Bob Odenkirk']"
Luke Cage,"['Mike Colter, ', 'Simone Missick, ', 'Theo Rossi, ', 'Alfre Woodard']"
Firefly Lane,"['Ali Skovbye, ', 'Yael Yurman, ', 'Brendan Taylor, ', 'Katherine Heigl']"
Vincenzo,"['Song Joong-ki, ', 'Jeon Yeo-bin, ', 'Taecyeon, ', 'Kwak Dong-yeon']"
Pera Palas'ta Gece Yarisi,"['Hazal Kaya, ', 'Tansu Biçer, ', 'Selahattin Pasali, ', 'James Chalmers']"
I Care a Lot,"['J Blakeson', '| ', '    Stars:', 'Rosamund Pike, ', 'Peter Dinklage, ', 'Eiza González, ', 'Dianne Wiest']"
To Kill a Mockingbird,"['Robert Mulligan', '| ', '    Stars:', 'Gregory Peck, ', 'John Megna, ', 'Frank Overton, ', 'Rosemary Murphy']"
Unbreakable Kimmy Schmidt,"['Ellie Kemper, ', 'Jane Krakowski, ', 'Tituss Burgess, ', 'Carol Kane']"
Munich: The Edge of War,"['Christian Schwochow', '| ', '    Stars:', 'George MacKay, ', 'Jannis Niewöhner, ', 'Jeremy Irons, ', 'Liv Lisa Fries']"
Kim's Convenience,"['Paul Sun-Hyung Lee, ', 'Jean Yoon, ', 'Andrea Bang, ', 'Simu Liu']"
The Chestnut Man,"['David Dencik, ', 'Danica Curcic, ', 'Mikkel Boe Følsgaard, ', 'Lars Ranthe']"
Security,"['Alain Desrochers', '| ', '    Stars:', 'Antonio Banderas, ', 'Ben Kingsley, ', 'Liam McIntyre, ', 'Cung Le']"
Lilo & Stitch,"['Dean DeBlois, ', 'Chris Sanders', '| ', '    Stars:', 'Daveigh Chase, ', 'Chris Sanders, ', 'Tia Carrere, ', 'David Ogden Stiers']"
Perfect Blue,"['Satoshi Kon', '| ', '    Stars:', 'Junko Iwao, ', 'Rica Matsumoto, ', 'Shinpachi Tsuji, ', 'Masaaki Ôkura']"
The Boondocks,"['Regina King, ', 'John Witherspoon, ', 'Gary Anthony Williams, ', 'Cedric Yarbrough']"
The Firm,"['Sydney Pollack', '| ', '    Stars:', 'Tom Cruise, ', 'Jeanne Tripplehorn, ', 'Gene Hackman, ', 'Hal Holbrook']"
Another Self,"['Tuba Büyüküstün, ', 'Seda Bakan, ', 'Boncuk Yilmaz, ', 'Murat Boz']"
Mob Psycho 100,"['Setsuo Ito, ', 'Takahiro Sakurai, ', 'Akio Ôtsuka, ', 'Kyle McCarley']"
The Invisible Guest,"['Oriol Paulo', '| ', '    Stars:', 'Mario Casas, ', 'Ana Wagener, ', 'Jose Coronado, ', 'Bárbara Lennie']"
Glitch,"['Patrick Brammall, ', 'Emma Booth, ', 'Sean Keenan, ', 'Hannah Monson']"
Night Teeth,"['Adam Randall', '| ', '    Stars:', 'Jorge Lendeborg Jr., ', 'Debby Ryan, ', 'Lucy Fry, ', 'Raúl Castillo']"
Jurassic Park III,"['Joe Johnston', '| ', '    Stars:', 'Sam Neill, ', 'William H. Macy, ', 'Téa Leoni, ', 'Alessandro Nivola']"
Bad Teacher,"['Jake Kasdan', '| ', '    Stars:', 'Cameron Diaz, ', 'Jason Segel, ', 'Justin Timberlake, ', 'Lucy Punch']"
The Snowman,"['Tomas Alfredson', '| ', '    Stars:', 'Michael Fassbender, ', 'Rebecca Ferguson, ', 'Charlotte Gainsbourg, ', 'Jonas Karlsson']"
Fuller House,"['Jodie Sweetin, ', 'Fox Messitt, ', 'Candace Cameron Bure, ', 'Andrea Barber']"
The Kissing Booth,"['Vince Marcello', '| ', '    Stars:', 'Joey King, ', 'Jacob Elordi, ', 'Joel Courtney, ', 'Megan du Plessis']"
No One Gets Out Alive,"['Santiago Menghini', '| ', '    Stars:', 'Phil Robertson, ', 'Joana Borja, ', 'Victoria Alcock, ', 'Cristina Rodlo']"
Ludik,"['Pieter Vorster, ', 'Vikash Mathura, ', 'Arnold Vosloo, ', 'Lea Vivier']"
Conan the Barbarian,"['Marcus Nispel', '| ', '    Stars:', 'Jason Momoa, ', 'Ron Perlman, ', 'Rose McGowan, ', 'Stephen Lang']"
Troll,"['Roar Uthaug', '| ', '    Stars:', 'Ine Marie Wilmann, ', 'Kim Falck, ', 'Mads Sjøgård Pettersen, ', 'Gard B. Eidsvold']"
The Weekend Away,"['Kim Farrant', '| ', '    Stars:', 'Leighton Meester, ', 'Christina Wolfe, ', 'Ziad Bakri, ', 'Luke Norris']"
1922,"['Zak Hilditch', '| ', '    Stars:', 'Thomas Jane, ', 'Molly Parker, ', 'Dylan Schmid, ', 'Kaitlyn Bernard']"
A Jazzman's Blues,"['Tyler Perry', '| ', '    Stars:', 'Joshua Boone, ', 'Amirah Vann, ', 'Solea Pfeiffer, ', 'Austin Scott']"
Ash vs Evil Dead,"['Bruce Campbell, ', 'Ray Santiago, ', 'Dana DeLorenzo, ', 'Lucy Lawless']"
The Fate of the Furious,"['F. Gary Gray', '| ', '    Stars:', 'Vin Diesel, ', 'Jason Statham, ', 'Dwayne Johnson, ', 'Michelle Rodriguez']"
Warrior Nun,"['Alba Baptista, ', 'Toya Turner, ', 'Kristina Tonteri-Young, ', 'Lorena Andrea']"
Kingdom,"['Frank Grillo, ', 'Kiele Sanchez, ', 'Matt Lauria, ', 'Jonathan Tucker']"
Versailles,"['George Blagden, ', 'Alexander Vlahos, ', 'Tygh Runyan, ', 'Stuart Bowman']"
Code Geass,"['Jun Fukuyama, ', 'Takahiro Sakurai, ', 'Johnny Yong Bosch, ', 'Yukana']"
My Neighbor Totoro,"['Hayao Miyazaki', '| ', '    Stars:', 'Hitoshi Takagi, ', 'Noriko Hidaka, ', 'Chika Sakamoto, ', 'Shigesato Itoi']"
Green Room,"['Jeremy Saulnier', '| ', '    Stars:', 'Anton Yelchin, ', 'Imogen Poots, ', 'Alia Shawkat, ', 'Patrick Stewart']"
The Last Dance,"['Michael Jordan, ', 'Phil Jackson, ', 'Scottie Pippen, ', 'David Aldridge']"
Serendipity,"['Peter Chelsom', '| ', '    Stars:', 'John Cusack, ', 'Kate Beckinsale, ', 'Jeremy Piven, ', 'Bridget Moynahan']"
Blue Mountain State,"['Darin Brooks, ', 'Alan Ritchson, ', 'Chris Romano, ', 'Ed Marinaro']"
Black Summer,"['Jaime King, ', 'Justin Chu Cary, ', 'Christine Lee, ', 'Zoe Marlett']"
127 Hours,"['Danny Boyle', '| ', '    Stars:', 'James Franco, ', 'Amber Tamblyn, ', 'Kate Mara, ', 'Sean Bott']"
The Founder,"['John Lee Hancock', '| ', '    Stars:', 'Michael Keaton, ', 'Nick Offerman, ', 'John Carroll Lynch, ', 'Linda Cardellini']"
Black Crab,"['Adam Berg', '| ', '    Stars:', 'Noomi Rapace, ', 'Jakob Oftebro, ', 'Dar Salim, ', 'Erik Enge']"
12 Monkeys,"['Aaron Stanford, ', 'Amanda Schull, ', 'Noah Bean, ', 'Barbara Sukowa']"
Extraction 2,"['Sam Hargrave', '| ', '    Stars:', 'Chris Hemsworth, ', 'Golshifteh Farahani, ', 'Tinatin Dalakishvili, ', 'Justin Howell']"
Murder Mystery,"['Kyle Newacheck', '| ', '    Stars:', 'Adam Sandler, ', 'Jennifer Aniston, ', 'Luke Evans, ', 'Terence Stamp']"
Dota: Dragon's Blood,"['Yuri Lowenthal, ', 'Lara Pulver, ', 'Troy Baker, ', 'Freya Tingley']"
Havoc,"['Gareth Evans', '| ', '    Stars:', 'Tom Hardy, ', 'Timothy Olyphant, ', 'Forest Whitaker, ', 'Jill Winternitz']"
The Defenders,"['Charlie Cox, ', 'Krysten Ritter, ', 'Mike Colter, ', 'Finn Jones']"
Manhunt,"['Gethin Anthony, ', 'Arliss Howard, ', 'Kelly Jenrette, ', 'Cameron Britton']"
Hunt for the Wilderpeople,"['Taika Waititi', '| ', '    Stars:', 'Sam Neill, ', 'Julian Dennison, ', 'Rima Te Wiata, ', 'Rachel House']"
What Happened to Monday,"['Tommy Wirkola', '| ', '    Stars:', 'Noomi Rapace, ', 'Glenn Close, ', 'Willem Dafoe, ', 'Marwan Kenzari']"
Kate,"['Cedric Nicolas-Troyan', '| ', '    Stars:', 'Mary Elizabeth Winstead, ', 'Woody Harrelson, ', 'Miku Patricia Martineau, ', 'Tadanobu Asano']"
The Client,"['Joel Schumacher', '| ', '    Stars:', 'Susan Sarandon, ', 'Tommy Lee Jones, ', 'Brad Renfro, ', 'Mary-Louise Parker']"
As Good as It Gets,"['James L. Brooks', '| ', '    Stars:', 'Jack Nicholson, ', 'Helen Hunt, ', 'Greg Kinnear, ', 'Cuba Gooding Jr.']"
Below Deck,"['Lee Rosbach, ', 'Kate Chastain, ', 'Eddie Lucas, ', 'Ben Robinson']"
The Mitchells vs the Machines,"['Michael Rianda, ', 'Jeff Rowe', '| ', '    Stars:', 'Abbi Jacobson, ', 'Danny McBride, ', 'Maya Rudolph, ', 'Michael Rianda']"
300: Rise of an Empire,"['Noam Murro', '| ', '    Stars:', 'Sullivan Stapleton, ', 'Eva Green, ', 'Lena Headey, ', 'Hans Matheson']"
Against the Ice,"['Peter Flinth', '| ', '    Stars:', 'Nikolaj Coster-Waldau, ', 'Joe Cole, ', 'Heida Reed, ', 'Þorsteinn Bachmann']"
Maniac,"['Emma Stone, ', 'Jonah Hill, ', 'Sonoya Mizuno, ', 'Justin Theroux']"
Clark,"['Bill Skarsgård, ', 'Vilhelm Blomgren, ', 'Sandra Ilar, ', 'Hanna Björn']"
The A-Team,"['Joe Carnahan', '| ', '    Stars:', 'Liam Neeson, ', 'Bradley Cooper, ', 'Sharlto Copley, ', 'Jessica Biel']"
The Danish Girl,"['Tom Hooper', '| ', '    Stars:', 'Eddie Redmayne, ', 'Alicia Vikander, ', 'Amber Heard, ', 'Ben Whishaw']"
Deliver Us from Evil,"['Scott Derrickson', '| ', '    Stars:', 'Eric Bana, ', 'Edgar Ramírez, ', 'Olivia Munn, ', 'Chris Coy']"
Escape Room: Tournament of Champions,"['Adam Robitel', '| ', '    Stars:', 'Taylor Russell, ', 'Logan Miller, ', 'Deborah Ann Woll, ', 'Thomas Cocquerel']"
Jeepers Creepers III,"['Victor Salva', '| ', '    Stars:', 'Stan Shaw, ', 'Gabrielle Haugh, ', 'Brandon Smith, ', 'Meg Foster']"
The Order,"['Jake Manley, ', 'Sarah Grey, ', 'Adam DiMarco, ', 'Louriza Tronco']"
Intrusion,"['Adam Salky', '| ', '    Stars:', 'Freida Pinto, ', 'Logan Marshall-Green, ', 'Robert John Burke, ', 'Megan Elisabeth Kelly']"
Who Killed Sara?,"['Manolo Cardona, ', 'Ginés García Millán, ', 'Carolina Miranda, ', 'Eugenio Siller']"
Fractured,"['Brad Anderson', '| ', '    Stars:', 'Sam Worthington, ', 'Lily Rabe, ', 'Lucy Capri, ', 'Adjoa Andoh']"
The Secret Life of Pets,"['Chris Renaud', '| ', '    Stars:', 'Louis C.K., ', 'Eric Stonestreet, ', 'Kevin Hart, ', 'Lake Bell']"
Jurassic World: Camp Cretaceous,"['Paul-Mikél Williams, ', 'Kausar Mohammed, ', 'Raini Rodriguez, ', 'Jenna Ortega']"
Brazen,"['Monika Mitchell', '| ', '    Stars:', 'Alyssa Milano, ', 'Sam Page, ', 'Malachi Weir, ', 'Emilie Ullerup']"
Love,"['Gillian Jacobs, ', 'Paul Rust, ', ""Claudia O'Doherty, "", 'Mike Mitchell']"
Spartacus,"['Stanley Kubrick', '| ', '    Stars:', 'Kirk Douglas, ', 'Laurence Olivier, ', 'Jean Simmons, ', 'Charles Laughton']"
Bee & Puppycat: Lazy in Space,"['Alexander James Rodriguez, ', 'Allyn Rachel, ', 'Ashly Burch, ', 'Kent Osborne']"
Under the Dome,"['Mike Vogel, ', 'Rachelle Lefevre, ', 'Alexander Koch, ', 'Colin Ford']"
Rebecca,"['Ben Wheatley', '| ', '    Stars:', 'Lily James, ', 'Armie Hammer, ', 'Kristin Scott Thomas, ', 'Keeley Hawes']"
Fantasy Island,"['Jeff Wadlow', '| ', '    Stars:', 'Michael Peña, ', 'Maggie Q, ', 'Lucy Hale, ', 'Austin Stowell']"
The Witcher: Blood Origin,"['Lenny Henry, ', 'Michelle Yeoh, ', 'Sophia Brown, ', 'Dylan Moran']"
Utopia,"['Adeel Akhtar, ', 'Paul Higgins, ', 'Neil Maskell, ', ""Fiona O'Shaughnessy""]"
The Bad Batch,"['Ana Lily Amirpour', '| ', '    Stars:', 'Suki Waterhouse, ', 'Jason Momoa, ', 'Jayda Fink, ', 'Keanu Reeves']"
Marco Polo,"['Lorenzo Richelmy, ', 'Benedict Wong, ', 'Joan Chen, ', 'Remy Hii']"
The Killer,"['David Fincher', '| ', '    Stars:', 'Tilda Swinton, ', 'Michael Fassbender, ', 'Charles Parnell, ', 'Sala Baker']"
Locke,"['Steven Knight', '| ', '    Stars:', 'Tom Hardy, ', 'Olivia Colman, ', 'Ruth Wilson, ', 'Andrew Scott']"
Below Zero,"['Lluís Quílez', '| ', '    Stars:', 'Javier Gutiérrez, ', 'Karra Elejalde, ', 'Luis Callejo, ', 'Andrés Gertrúdix']"
Insatiable,"['Dallas Roberts, ', 'Debby Ryan, ', 'Christopher Gorham, ', 'Kimmy Shields']"
Tekken: Bloodline,"['Kaiji Tang, ', 'S. Hiroshi Watanabe, ', 'Toshiyuki Morikawa, ', 'Isshin Chiba']"
Our Man from Jersey,"['Julian Farino', '| ', '    Stars:', 'Mark Wahlberg, ', 'Halle Berry, ', 'J.K. Simmons, ', 'Jackie Earle Haley']"
First Kill,"['Sarah Catherine Hook, ', 'Imani Lewis, ', 'Elizabeth Mitchell, ', 'Aubin Wise']"
The Festival of Troubadours,"['Özcan Alper', '| ', '    Stars:', 'Kivanç Tatlitug, ', 'Settar Tanriögen, ', 'Çinar Babiz, ', 'Erkan Bektas']"
Family Secrets,"['Eliza Rycembel, ', 'Izabela Kuna, ', 'Malgorzata Mikolajczak, ', 'Piotr Pacek']"
Awakenings,"['Penny Marshall', '| ', '    Stars:', 'Robert De Niro, ', 'Robin Williams, ', 'Julie Kavner, ', 'Ruth Nelson']"
Fullmetal Alchemist: The Revenge of Scar,"['Fumihiko Sori', '| ', '    Stars:', 'Ryôsuke Yamada, ', 'Tsubasa Honda, ', 'Dean Fujioka, ', 'Misako Renbutsu']"
The Kominsky Method,"['Michael Douglas, ', 'Sarah Baker, ', 'Graham Rogers, ', 'Melissa Tang']"
I Am a Killer,"['Swaylee Loughnane, ', 'Reece Putinas, ', 'David Galea, ', 'James Robertson']"
The Trial of the Chicago 7,"['Aaron Sorkin', '| ', '    Stars:', 'Eddie Redmayne, ', 'Alex Sharp, ', 'Sacha Baron Cohen, ', 'Jeremy Strong']"
Slasher,"['Christopher Jacot, ', 'Paula Brancati, ', 'Joanne Vannicola, ', 'Dean McDermott']"
Ragnarok,"['David Stakston, ', 'Jonas Strand Gravli, ', 'Herman Tømmeraas, ', 'Theresa Frostad Eggesbø']"
Triple Frontier,"['J.C. Chandor', '| ', '    Stars:', 'Ben Affleck, ', 'Oscar Isaac, ', 'Charlie Hunnam, ', 'Garrett Hedlund']"
Lord of War,"['Andrew Niccol', '| ', '    Stars:', 'Nicolas Cage, ', 'Ethan Hawke, ', 'Jared Leto, ', 'Bridget Moynahan']"
Planet of the Apes,"['Franklin J. Schaffner', '| ', '    Stars:', 'Charlton Heston, ', 'Roddy McDowall, ', 'Kim Hunter, ', 'Maurice Evans']"
The Society,"['Kathryn Newton, ', 'Gideon Adlon, ', 'Sean Berdy, ', 'Natasha Liu Bordizzo']"
Noah,"['Darren Aronofsky', '| ', '    Stars:', 'Russell Crowe, ', 'Jennifer Connelly, ', 'Anthony Hopkins, ', 'Emma Watson']"
Hachi: A Dog's Tale,"['Lasse Hallström', '| ', '    Stars:', 'Richard Gere, ', 'Joan Allen, ', 'Cary-Hiroyuki Tagawa, ', 'Sarah Roemer']"
Frontier,"['Jason Momoa, ', 'Landon Liboiron, ', 'Zoe Boyle, ', 'Greg Bryk']"
Gunpowder Milkshake,"['Navot Papushado', '| ', '    Stars:', 'Karen Gillan, ', 'Lena Headey, ', 'Carla Gugino, ', 'Michelle Yeoh']"
Athena,"['Romain Gavras', '| ', '    Stars:', 'Dali Benssalah, ', 'Sami Slimane, ', 'Anthony Bajon, ', 'Ouassini Embarek']"
The Office Blind Date,"['Ahn Hyo-Seop, ', 'Se-Jeong Kim, ', 'Min-Kyu Kim, ', 'Seol In-ah']"
